Mt,gamma,Ms,acc_tgt
120,0.7,240,0.754557152112481
120,0.7,360,0.7962375316742626
120,0.7,480,0.7520251715323699
120,0.8,240,0.7405680573920894
120,0.9,240,0.6983512569334842
120,0.9,360,0.7306150506239324
120,0.9,480,0.7268261707206748
120,0.95,240,0.6517527678059075
120,0.95,360,0.6698733152641471
120,0.95,480,0.6696411230305402
150,0.05,240,0.7748356330208312
150,0.05,360,0.7978884784598311
150,0.05,480,0.8127905724667993
150,0.1,240,0.7938586904558094
150,0.1,360,0.80873189921023
150,0.1,480,0.8356251449328114
150,0.3,240,0.7843081635502915
150,0.3,360,0.8247003540888805
150,0.3,480,0.8438606343521244
150,0.5,240,0.7863223525906028
150,0.5,360,0.7980076662670892
150,0.5,480,0.8137315415778662
150,0.7,240,0.7689889167970979
150,0.7,360,0.7959784383461067
150,0.7,480,0.7956928694242998
150,0.8,240,0.7485550930251538
150,0.9,240,0.7535550706966828
150,0.9,360,0.7210105218161277
150,0.9,480,0.7805015083544742
150,0.95,240,0.7171994645397347
150,0.95,360,0.7042618501463571
150,0.95,480,0.745531685353065
180,0.05,240,0.7721840405082369
180,0.05,360,0.7950514094740809
180,0.05,480,0.8400803116529918
180,0.1,240,0.7947965008961514
180,0.1,360,0.8332231359958706
180,0.1,480,0.8256896592524132
180,0.3,240,0.8011205141310933
180,0.3,360,0.8087443855820563
180,0.3,480,0.8346544984873328
180,0.5,240,0.8079710140294869
180,0.5,360,0.8230940971368534
180,0.5,480,0.8221652331735041
180,0.7,240,0.793111736523296
180,0.7,360,0.809792090613114
180,0.7,480,0.803900840315105
180,0.8,240,0.7794702454568885
180,0.9,240,0.7489521811803451
180,0.9,360,0.7750687415946189
180,0.9,480,0.7621189907118023
180,0.95,240,0.7258214220321331
180,0.95,360,0.7532375783357304
180,0.95,480,0.7485669579361192
210,0.05,360,0.8124679338614706
210,0.05,480,0.831681772484598
210,0.1,240,0.7866439870938302
210,0.1,360,0.8371036204737381
210,0.1,480,0.8317255694291504
210,0.3,240,0.8177914536545494
210,0.3,360,0.822776956992153
210,0.3,480,0.8353821144174823
210,0.5,240,0.8027448772866078
210,0.5,360,0.8360462414073505
210,0.5,480,0.8182478494951037
210,0.7,240,0.8108383477359888
210,0.7,360,0.8201207403423345
210,0.7,480,0.8181706709922947
210,0.9,240,0.7722716548332262
210,0.9,360,0.7955032906452029
210,0.9,480,0.7933329720621822
210,0.95,360,0.7792238781853524
210,0.95,480,0.762604831688166
240,0.05,360,0.817228338700193
240,0.05,480,0.8320334630764619
240,0.1,240,0.794974334739387
240,0.1,360,0.800204664421559
240,0.1,480,0.833638701641697
240,0.3,240,0.8146451591650223
240,0.3,360,0.8495654516287754
240,0.3,480,0.8411141392552619
240,0.5,240,0.83111347044443
240,0.5,360,0.8458426443683873
240,0.5,480,0.8456211848839519
240,0.7,240,0.8160674312751872
240,0.7,360,0.8232280685193281
240,0.7,480,0.8410262506358118
240,0.9,240,0.7916899359048986
240,0.9,360,0.8090170213744801
240,0.9,480,0.8054282319601807
240,0.95,360,0.7877563261937486
240,0.95,480,0.7721299969962285
